report_year,agency_jurisdiction,population,homicides,rapes,assaults,robberies
1976,"San Diego, CA",773400.0,59.0,233.0,1555.0,2271.0
1976,"San Francisco, CA",665000.0,130.0,619.0,3379.0,6628.0
1976,"San Jose, CA",557700.0,37.0,296.0,1223.0,967.0
1976,"Seattle, WA",503500.0,42.0,322.0,1601.0,2163.0
1976,"St. Louis, MO",534206.0,182.0,489.0,3600.0,5303.0
1976,"Suffolk County, NY",1177192.0,34.0,126.0,671.0,979.0
1976,"Tampa, FL",274568.0,42.0,162.0,1706.0,1025.0
1976,"Tucson, AZ",340927.0,24.0,136.0,750.0,554.0
1976,"Tulsa, OK",349516.0,27.0,131.0,1197.0,392.0
1976,"Virginia Beach, VA",216176.0,12.0,59.0,253.0,157.0
1976,"Washington, DC",702000.0,188.0,508.0,2659.0,7044.0
1976,"Wichita, KS",256455.0,19.0,111.0,470.0,514.0
1977,"Albuquerque, NM",292341.0,31.0,207.0,1398.0,754.0
1977,"Arlington, TX",112994.0,4.0,34.0,266.0,85.0
1977,"Atlanta, GA",440300.0,138.0,510.0,3593.0,3354.0
1977,"Aurora, CO",137200.0,3.0,42.0,374.0,166.0
1977,"Austin, TX",321900.0,33.0,187.0,528.0,512.0
1977,"Baltimore County, MD",643363.0,22.0,162.0,3109.0,717.0
1977,"Baltimore, MD",827494.0,171.0,499.0,6050.0,7563.0
1977,"Boston, MA",619321.0,75.0,408.0,3284.0,5655.0
1977,"Buffalo, NY",415352.0,45.0,236.0,1842.0,1822.0
1977,"Charlotte, NC",262314.0,47.0,119.0,1465.0,614.0
1977,"Chicago, IL",3086806.0,823.0,1227.0,10311.0,16512.0
1977,"Cincinnati, OH",423671.0,72.0,291.0,1451.0,1625.0
1977,"Cleveland, OH",638793.0,249.0,508.0,2198.0,6466.0
1977,"Columbus, OH",568800.0,69.0,331.0,1086.0,1752.0
1977,"Dallas, TX",873700.0,224.0,637.0,4401.0,3637.0
1977,"Denver, CO",520200.0,73.0,466.0,2005.0,2488.0
1977,"Detroit, MI",1316352.0,479.0,1277.0,6482.0,15832.0
1977,"El Paso, TX",386000.0,32.0,107.0,597.0,824.0
1977,"Fairfax County, VA",517610.0,13.0,89.0,320.0,419.0
1977,"Fort Worth, TX",383028.0,102.0,208.0,1119.0,1132.0
1977,"Fresno, CA",182629.0,52.0,71.0,592.0,958.0
1977,"Honolulu, HI",721983.0,46.0,176.0,357.0,1081.0
1977,"Houston, TX",1613303.0,376.0,965.0,1810.0,6153.0
1977,"Indianapolis, IN",509000.0,80.0,346.0,1220.0,2139.0
1977,"Jacksonville, FL",528698.0,77.0,299.0,2329.0,1466.0
1977,"Kansas City, MO",492055.0,97.0,325.0,2868.0,2326.0
1977,"Las Vegas, NV",279791.0,59.0,183.0,1068.0,1419.0
1977,"Long Beach, CA",346662.0,75.0,226.0,1094.0,1996.0
1977,"Los Angeles County, CA",1040180.0,173.0,631.0,6822.0,2963.0
1977,"Los Angeles, CA",2785393.0,576.0,2339.0,15515.0,15246.0
1977,"Memphis, TN",667150.0,105.0,581.0,1796.0,2749.0
1977,"Mesa, AZ",116400.0,4.0,34.0,264.0,83.0
1977,"Miami-Dade County, FL",657954.0,90.0,277.0,4676.0,2161.0
1977,"Miami, FL",333713.0,84.0,178.0,2637.0,2447.0
1977,"Milwaukee, WI",640489.0,54.0,213.0,879.0,1389.0
1977,"Minneapolis, MN",390294.0,38.0,324.0,1116.0,1652.0
1977,"Montgomery County, MD",491003.0,14.0,105.0,313.0,484.0
1977,"Nashville, TN",456589.0,82.0,187.0,1000.0,1688.0
1977,"Nassau County, NY",1044946.0,19.0,48.0,257.0,734.0
1977,"New Orleans, LA",587776.0,173.0,360.0,2135.0,3279.0
1977,"New York City, NY",7481613.0,1557.0,3899.0,42056.0,74404.0
1977,"Newark, NJ",351412.0,92.0,324.0,2556.0,3203.0
